Class ID,Class Name,Section,Room,Instruction Type,Time
17716,EGGN 100 - Introduction to Engineering,"06-LEC
Regular",CS 204 - Self Instruct Lab,In Person,MoWe 2:30-3:45PM
17698,EGGN 403 - Computer Methods in Numerical Analysis,"03-DIS
Regular",CS 301 - Teaching Lab,In Person,TuTh 4:00-5:15PM
17225,EGGN 495 - Professional Practice,"01-SUP
Regular",TBA,In Person,TBA
